# BEAVRS Cycle 1 Power History (PLACEHOLDER)
# Replace with actual BEAVRS data when available.
#
# Format: CSV with two columns
#   time_days           - cumulative time from BOC [days]
#   specific_power_W_per_g - specific power in fuel [W/g]
#
# The script will interpolate this onto a uniform grid with spacing --dt.
# If your file has non-uniform time steps, --dt is required.
#
# Alternatively, you can provide a single-column file with one power value
# per line (no header), where each line corresponds to one depletion step
# of duration --dt days.
#
# BEAVRS Cycle 1 Day 140 - 170:
#   - ~500 EFPD total
#   - Average specific power ~38 W/g at HFP
#   - Power coastdown near EOC
#   - Shutdown periods (power = 0) during outages
#
time_days,Percent_Rated_Power
0,0
1,0
2,0.3006584
3,0.9761743
4,24.21784
5,59.47511
6,2.952592
7,0
8,3.547795
9,19.8735
10,38.82519
11,64.64112
12,64.15624
13,63.97426
14,64.09499
15,31.40087
16,48.88891
17,90.55626
18,100
19,98.82449
20,100
21,96.49099
22,100
23,100
24,100
25,100
26,100
27,100
28,100
29,100
30,100


