level,nuclides_after_trimming
0,95
1,1224
2,1279
3,1318
4,1341
5,1361
6,1383
7,1408
8,1434
9,1455
10,1473
11,1491
12,1511
13,1530
14,1543
15,1556
16,1573
17,1584
18,1588
19,1593
20,1599
21,1605
22,1609
23,1614
24,1617
25,1619
26,1619
27,1619
28,1619
29,1619
30,1619
31,1619
32,1619
33,1619
34,1619
35,1619
36,1619
37,1619
38,1619
39,1619
40,1619
41,1619
42,1619
43,1619
44,1619
45,1619
46,1619
47,1619
48,1619
49,1619
50,1619
51,1619
52,1619
53,1619
54,1619
55,1619
56,1619
57,1619
58,1619
59,1619
60,1619
61,1619
62,1619
63,1619
64,1619
65,1619
66,1619
67,1619
68,1619
69,1619
70,1619
71,1619
72,1619
73,1619
74,1619
75,1619
76,1619
77,1619
78,1619
79,1619
80,1619
81,1619
82,1619
83,1619
84,1619
85,1619
86,1619
87,1619
88,1619
89,1619
90,1619
